User_ID,Start_DateTime,End_DateTime,Type,Location
user170@example.com,10/02/2027 09:00,10/02/2027 09:30,Online,Gold Coast
user193@example.com,10/02/2027 17:30,10/02/2027 18:00,Online,Geelong
user058@example.com,10/02/2027 11:30,10/02/2027 12:00,All,Sydney CBD
user012@example.com,10/02/2027 11:00,10/02/2027 11:30,In-Person,Geelong
user197@example.com,10/02/2027 11:30,10/02/2027 12:00,Online,Gold Coast
user162@example.com,10/02/2027 09:00,10/02/2027 09:30,Online,Canberra
user127@example.com,10/02/2027 17:00,10/02/2027 17:30,In-Person,Canberra
user168@example.com,10/02/2027 14:00,10/02/2027 14:30,In-Person,Parramatta
user057@example.com,10/02/2027 08:00,10/02/2027 08:30,In-Person,Canberra
user119@example.com,10/02/2027 10:30,10/02/2027 11:00,All,Gold Coast
user032@example.com,10/02/2027 08:30,10/02/2027 09:00,All,Parramatta
user171@example.com,10/02/2027 15:00,10/02/2027 15:30,In-Person,Canberra
user082@example.com,10/02/2027 16:00,10/02/2027 16:30,All,Gold Coast
user110@example.com,10/02/2027 15:00,10/02/2027 15:30,All,Gold Coast
user191@example.com,10/02/2027 16:30,10/02/2027 17:00,Online,Parramatta
user193@example.com,10/02/2027 15:30,10/02/2027 16:00,Online,Sydney CBD
user197@example.com,10/02/2027 11:30,10/02/2027 12:00,All,Sydney CBD
user071@example.com,10/02/2027 16:00,10/02/2027 16:30,Online,Parramatta
user061@example.com,10/02/2027 15:00,10/02/2027 15:30,In-Person,Sydney CBD
user139@example.com,10/02/2027 12:00,10/02/2027 12:30,Online,Sydney CBD
user060@example.com,10/02/2027 09:00,10/02/2027 09:30,In-Person,Parramatta
user181@example.com,10/02/2027 14:00,10/02/2027 14:30,All,Parramatta
user105@example.com,10/02/2027 11:00,10/02/2027 11:30,In-Person,Canberra
user107@example.com,10/02/2027 13:00,10/02/2027 13:30,All,Canberra
user100@example.com,10/02/2027 08:30,10/02/2027 09:00,In-Person,Canberra
user196@example.com,10/02/2027 17:00,10/02/2027 17:30,All,Geelong
user002@example.com,10/02/2027 17:00,10/02/2027 17:30,Online,Canberra
user108@example.com,10/02/2027 13:30,10/02/2027 14:00,Online,Canberra
user155@example.com,10/02/2027 16:30,10/02/2027 17:00,All,Gold Coast
user070@example.com,10/02/2027 11:30,10/02/2027 12:00,Online,Parramatta
user100@example.com,10/02/2027 14:30,10/02/2027 15:00,Online,Geelong
user186@example.com,10/02/2027 13:00,10/02/2027 13:30,All,Canberra
user160@example.com,10/02/2027 10:30,10/02/2027 11:00,Online,Parramatta
user152@example.com,10/02/2027 16:30,10/02/2027 17:00,In-Person,Canberra
user022@example.com,10/02/2027 17:00,10/02/2027 17:30,All,Geelong
user047@example.com,10/02/2027 14:30,10/02/2027 15:00,In-Person,Canberra
user084@example.com,10/02/2027 08:30,10/02/2027 09:00,Online,Canberra
user087@example.com,10/02/2027 11:00,10/02/2027 11:30,Online,Sydney CBD
user065@example.com,10/02/2027 14:00,10/02/2027 14:30,Online,Canberra
user192@example.com,10/02/2027 09:00,10/02/2027 09:30,Online,Geelong
user058@example.com,10/02/2027 16:30,10/02/2027 17:00,In-Person,Sydney CBD
user194@example.com,10/02/2027 09:00,10/02/2027 09:30,All,Geelong
user006@example.com,10/02/2027 08:00,10/02/2027 08:30,In-Person,Parramatta
user033@example.com,10/02/2027 17:30,10/02/2027 18:00,In-Person,Parramatta
user145@example.com,10/02/2027 15:30,10/02/2027 16:00,All,Geelong
user197@example.com,10/02/2027 11:00,10/02/2027 11:30,Online,Sydney CBD
user156@example.com,10/02/2027 13:30,10/02/2027 14:00,In-Person,Gold Coast
user028@example.com,10/02/2027 09:30,10/02/2027 10:00,In-Person,Sydney CBD
user148@example.com,10/02/2027 17:00,10/02/2027 17:30,In-Person,Sydney CBD
user020@example.com,10/02/2027 14:00,10/02/2027 14:30,Online,Parramatta
user027@example.com,10/02/2027 17:00,10/02/2027 17:30,All,Parramatta
user031@example.com,10/02/2027 12:30,10/02/2027 13:00,All,Gold Coast
user137@example.com,10/02/2027 17:00,10/02/2027 17:30,In-Person,Sydney CBD
user018@example.com,10/02/2027 14:30,10/02/2027 15:00,All,Sydney CBD
user004@example.com,10/02/2027 16:00,10/02/2027 16:30,All,Sydney CBD
user111@example.com,10/02/2027 14:30,10/02/2027 15:00,Online,Geelong
user182@example.com,10/02/2027 13:30,10/02/2027 14:00,All,Canberra
user188@example.com,10/02/2027 10:00,10/02/2027 10:30,Online,Parramatta
user158@example.com,10/02/2027 16:00,10/02/2027 16:30,All,Sydney CBD
user112@example.com,10/02/2027 16:30,10/02/2027 17:00,Online,Canberra
user063@example.com,10/02/2027 17:00,10/02/2027 17:30,Online,Sydney CBD
user063@example.com,10/02/2027 09:00,10/02/2027 09:30,Online,Canberra
user172@example.com,10/02/2027 15:00,10/02/2027 15:30,All,Gold Coast
user127@example.com,10/02/2027 14:00,10/02/2027 14:30,Online,Geelong
user055@example.com,10/02/2027 13:00,10/02/2027 13:30,In-Person,Canberra
user072@example.com,10/02/2027 13:30,10/02/2027 14:00,Online,Sydney CBD
user143@example.com,10/02/2027 17:30,10/02/2027 18:00,All,Sydney CBD
user022@example.com,10/02/2027 08:00,10/02/2027 08:30,All,Parramatta
user126@example.com,10/02/2027 11:30,10/02/2027 12:00,All,Canberra
user166@example.com,10/02/2027 16:30,10/02/2027 17:00,In-Person,Canberra
user024@example.com,10/02/2027 15:30,10/02/2027 16:00,Online,Geelong
user178@example.com,10/02/2027 12:30,10/02/2027 13:00,In-Person,Canberra
user095@example.com,10/02/2027 11:30,10/02/2027 12:00,Online,Gold Coast
user089@example.com,10/02/2027 15:30,10/02/2027 16:00,All,Gold Coast
user085@example.com,10/02/2027 14:30,10/02/2027 15:00,All,Gold Coast
user070@example.com,10/02/2027 13:30,10/02/2027 14:00,All,Canberra
user031@example.com,10/02/2027 12:30,10/02/2027 13:00,Online,Parramatta
user191@example.com,10/02/2027 11:00,10/02/2027 11:30,Online,Geelong
user050@example.com,10/02/2027 16:30,10/02/2027 17:00,All,Parramatta
user071@example.com,10/02/2027 11:00,10/02/2027 11:30,All,Canberra
user073@example.com,10/02/2027 17:00,10/02/2027 17:30,All,Gold Coast
user059@example.com,10/02/2027 09:30,10/02/2027 10:00,In-Person,Sydney CBD
user004@example.com,10/02/2027 13:30,10/02/2027 14:00,In-Person,Sydney CBD
user012@example.com,10/02/2027 16:30,10/02/2027 17:00,In-Person,Sydney CBD
user179@example.com,10/02/2027 08:30,10/02/2027 09:00,All,Sydney CBD
user027@example.com,10/02/2027 10:00,10/02/2027 10:30,All,Canberra
user121@example.com,10/02/2027 08:00,10/02/2027 08:30,All,Sydney CBD
user048@example.com,10/02/2027 15:30,10/02/2027 16:00,Online,Sydney CBD
user030@example.com,10/02/2027 08:30,10/02/2027 09:00,Online,Canberra
user019@example.com,10/02/2027 09:00,10/02/2027 09:30,Online,Canberra
user039@example.com,10/02/2027 17:00,10/02/2027 17:30,All,Geelong
user022@example.com,10/02/2027 10:00,10/02/2027 10:30,All,Sydney CBD
user196@example.com,10/02/2027 11:30,10/02/2027 12:00,In-Person,Gold Coast
user159@example.com,10/02/2027 14:30,10/02/2027 15:00,All,Gold Coast
user116@example.com,10/02/2027 11:30,10/02/2027 12:00,All,Canberra
user110@example.com,10/02/2027 15:00,10/02/2027 15:30,Online,Gold Coast
user016@example.com,10/02/2027 12:30,10/02/2027 13:00,All,Gold Coast
user196@example.com,10/02/2027 17:30,10/02/2027 18:00,All,Geelong
user068@example.com,10/02/2027 11:00,10/02/2027 11:30,All,Parramatta
user045@example.com,10/02/2027 09:00,10/02/2027 09:30,In-Person,Parramatta
user001@example.com,10/02/2027 16:30,10/02/2027 17:00,In-Person,Parramatta
user121@example.com,10/02/2027 14:30,10/02/2027 15:00,Online,Gold Coast
user074@example.com,10/02/2027 12:30,10/02/2027 13:00,In-Person,Parramatta
user019@example.com,10/02/2027 12:30,10/02/2027 13:00,All,Canberra
user170@example.com,10/02/2027 11:30,10/02/2027 12:00,Online,Gold Coast
user140@example.com,10/02/2027 11:00,10/02/2027 11:30,Online,Geelong
user069@example.com,10/02/2027 11:30,10/02/2027 12:00,All,Parramatta
user043@example.com,10/02/2027 10:00,10/02/2027 10:30,In-Person,Geelong
user074@example.com,10/02/2027 12:30,10/02/2027 13:00,All,Gold Coast
user177@example.com,10/02/2027 15:00,10/02/2027 15:30,In-Person,Canberra
user070@example.com,10/02/2027 12:30,10/02/2027 13:00,All,Canberra
user113@example.com,10/02/2027 16:00,10/02/2027 16:30,All,Canberra
user111@example.com,10/02/2027 09:00,10/02/2027 09:30,All,Geelong
user007@example.com,10/02/2027 13:00,10/02/2027 13:30,All,Sydney CBD
user151@example.com,10/02/2027 09:00,10/02/2027 09:30,In-Person,Gold Coast
user148@example.com,10/02/2027 08:00,10/02/2027 08:30,All,Sydney CBD
user133@example.com,10/02/2027 08:30,10/02/2027 09:00,In-Person,Canberra
user150@example.com,10/02/2027 15:00,10/02/2027 15:30,Online,Parramatta
user024@example.com,10/02/2027 14:30,10/02/2027 15:00,All,Canberra
user086@example.com,10/02/2027 15:30,10/02/2027 16:00,Online,Canberra
user042@example.com,10/02/2027 13:00,10/02/2027 13:30,All,Geelong
user074@example.com,10/02/2027 13:00,10/02/2027 13:30,Online,Canberra
user117@example.com,10/02/2027 14:00,10/02/2027 14:30,All,Geelong
user083@example.com,10/02/2027 09:00,10/02/2027 09:30,Online,Sydney CBD
user001@example.com,10/02/2027 09:30,10/02/2027 10:00,Online,Gold Coast
user014@example.com,10/02/2027 16:30,10/02/2027 17:00,Online,Canberra
user160@example.com,10/02/2027 11:00,10/02/2027 11:30,All,Sydney CBD
user195@example.com,10/02/2027 15:30,10/02/2027 16:00,All,Canberra
user141@example.com,10/02/2027 08:30,10/02/2027 09:00,In-Person,Sydney CBD
user179@example.com,10/02/2027 10:00,10/02/2027 10:30,Online,Canberra
user162@example.com,10/02/2027 15:30,10/02/2027 16:00,In-Person,Geelong
user080@example.com,10/02/2027 17:30,10/02/2027 18:00,In-Person,Parramatta
user105@example.com,10/02/2027 16:30,10/02/2027 17:00,In-Person,Gold Coast
user119@example.com,10/02/2027 09:00,10/02/2027 09:30,In-Person,Geelong
user128@example.com,10/02/2027 09:30,10/02/2027 10:00,All,Parramatta
user107@example.com,10/02/2027 12:30,10/02/2027 13:00,All,Sydney CBD
user117@example.com,10/02/2027 15:30,10/02/2027 16:00,Online,Parramatta
user049@example.com,10/02/2027 16:30,10/02/2027 17:00,In-Person,Canberra
user018@example.com,10/02/2027 17:30,10/02/2027 18:00,All,Parramatta
user130@example.com,10/02/2027 12:00,10/02/2027 12:30,Online,Sydney CBD
user186@example.com,10/02/2027 12:00,10/02/2027 12:30,In-Person,Sydney CBD
user169@example.com,10/02/2027 12:30,10/02/2027 13:00,All,Gold Coast
user138@example.com,10/02/2027 15:30,10/02/2027 16:00,In-Person,Canberra
user142@example.com,10/02/2027 15:30,10/02/2027 16:00,Online,Sydney CBD
user083@example.com,10/02/2027 16:30,10/02/2027 17:00,Online,Canberra
user147@example.com,10/02/2027 11:00,10/02/2027 11:30,All,Parramatta
user012@example.com,10/02/2027 14:00,10/02/2027 14:30,In-Person,Canberra
user181@example.com,10/02/2027 13:00,10/02/2027 13:30,All,Canberra
user127@example.com,10/02/2027 14:00,10/02/2027 14:30,Online,Parramatta
user152@example.com,10/02/2027 08:30,10/02/2027 09:00,In-Person,Gold Coast
user026@example.com,10/02/2027 13:00,10/02/2027 13:30,In-Person,Canberra
user185@example.com,10/02/2027 16:00,10/02/2027 16:30,Online,Geelong
